"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","01.01.2020 00:00 - 01.01.2020 00:30 (UTC)","2347","n/e","n/e","7884","671","0","n/e","n/e","n/e","41","","672","n/e","n/e","6955","124","n/e","0","n/e","2335","3017"
"BZN|GB","01.01.2020 00:30 - 01.01.2020 01:00 (UTC)","2353","n/e","n/e","8231","668","0","n/e","n/e","n/e","62","","672","n/e","n/e","6948","124","n/e","0","n/e","2542","3016"
"BZN|GB","01.01.2020 01:00 - 01.01.2020 01:30 (UTC)","2359","n/e","n/e","8320","671","0","n/e","n/e","n/e","0","","662","n/e","n/e","6954","123","n/e","0","n/e","2586","2967"
"BZN|GB","01.01.2020 01:30 - 01.01.2020 02:00 (UTC)","2362","n/e","n/e","7697","666","0","n/e","n/e","n/e","0","","594","n/e","n/e","6945","121","n/e","0","n/e","2508","2882"
"BZN|GB","01.01.2020 02:00 - 01.01.2020 02:30 (UTC)","2358","n/e","n/e","7170","670","0","n/e","n/e","n/e","0","","548","n/e","n/e","6953","121","n/e","0","n/e","2437","2782"
"BZN|GB","01.01.2020 02:30 - 01.01.2020 03:00 (UTC)","2352","n/e","n/e","6903","671","0","n/e","n/e","n/e","0","","547","n/e","n/e","6953","121","n/e","0","n/e","2519","2642"
"BZN|GB","01.01.2020 03:00 - 01.01.2020 03:30 (UTC)","2359","n/e","n/e","7330","670","0","n/e","n/e","n/e","0","","529","n/e","n/e","6955","121","n/e","0","n/e","2276","2723"
"BZN|GB","01.01.2020 03:30 - 01.01.2020 04:00 (UTC)","2355","n/e","n/e","7173","670","0","n/e","n/e","n/e","0","","433","n/e","n/e","6945","122","n/e","0","n/e","2148","2717"
"BZN|GB","01.01.2020 04:00 - 01.01.2020 04:30 (UTC)","2354","n/e","n/e","6831","669","0","n/e","n/e","n/e","0","","440","n/e","n/e","6960","123","n/e","0","n/e","2108","2920"
"BZN|GB","01.01.2020 04:30 - 01.01.2020 05:00 (UTC)","2342","n/e","n/e","6824","670","0","n/e","n/e","n/e","0","","438","n/e","n/e","6967","122","n/e","0","n/e","2184","2977"
"BZN|GB","01.01.2020 05:00 - 01.01.2020 05:30 (UTC)","2350","n/e","n/e","6172","669","0","n/e","n/e","n/e","0","","473","n/e","n/e","6958","123","n/e","0","n/e","2015","3302"
"BZN|GB","01.01.2020 05:30 - 01.01.2020 06:00 (UTC)","2367","n/e","n/e","6181","670","0","n/e","n/e","n/e","0","","479","n/e","n/e","6956","124","n/e","0","n/e","1820","3340"
"BZN|GB","01.01.2020 06:00 - 01.01.2020 06:30 (UTC)","2292","n/e","n/e","6156","670","0","n/e","n/e","n/e","0","","484","n/e","n/e","6966","123","n/e","0","n/e","1848","3370"
"BZN|GB","01.01.2020 06:30 - 01.01.2020 07:00 (UTC)","2271","n/e","n/e","6375","672","0","n/e","n/e","n/e","0","","488","n/e","n/e","6961","127","n/e","0","n/e","1817","3384"
"BZN|GB","01.01.2020 07:00 - 01.01.2020 07:30 (UTC)","2277","n/e","n/e","6535","670","0","n/e","n/e","n/e","0","","534","n/e","n/e","6958","125","n/e","0","n/e","1657","3421"
"BZN|GB","01.01.2020 07:30 - 01.01.2020 08:00 (UTC)","2343","n/e","n/e","6737","670","0","n/e","n/e","n/e","0","","532","n/e","n/e","6964","122","n/e","0","n/e","1424","3523"
"BZN|GB","01.01.2020 08:00 - 01.01.2020 08:30 (UTC)","2361","n/e","n/e","6888","748","0","n/e","n/e","n/e","0","","661","n/e","n/e","6955","121","n/e","2","n/e","1177","3661"
"BZN|GB","01.01.2020 08:30 - 01.01.2020 09:00 (UTC)","2283","n/e","n/e","6939","1016","0","n/e","n/e","n/e","0","","745","n/e","n/e","6954","124","n/e","34","n/e","1315","3638"
"BZN|GB","01.01.2020 09:00 - 01.01.2020 09:30 (UTC)","2361","n/e","n/e","7993","1175","0","n/e","n/e","n/e","0","","783","n/e","n/e","6952","124","n/e","205","n/e","1240","3582"
"BZN|GB","01.01.2020 09:30 - 01.01.2020 10:00 (UTC)","2329","n/e","n/e","9278","1237","0","n/e","n/e","n/e","0","","846","n/e","n/e","6954","123","n/e","476","n/e","1260","3489"
"BZN|GB","01.01.2020 10:00 - 01.01.2020 10:30 (UTC)","2355","n/e","n/e","10093","1314","0","n/e","n/e","n/e","0","","847","n/e","n/e","6953","122","n/e","754","n/e","1397","3534"
"BZN|GB","01.01.2020 10:30 - 01.01.2020 11:00 (UTC)","2361","n/e","n/e","10343","1501","0","n/e","n/e","n/e","0","","878","n/e","n/e","6964","124","n/e","909","n/e","1352","3892"
"BZN|GB","01.01.2020 11:00 - 01.01.2020 11:30 (UTC)","2363","n/e","n/e","10425","1400","0","n/e","n/e","n/e","0","","811","n/e","n/e","6951","125","n/e","1010","n/e","1389","4193"
"BZN|GB","01.01.2020 11:30 - 01.01.2020 12:00 (UTC)","2368","n/e","n/e","11053","1301","0","n/e","n/e","n/e","0","","805","n/e","n/e","6953","131","n/e","980","n/e","1341","4572"
"BZN|GB","01.01.2020 12:00 - 01.01.2020 12:30 (UTC)","2366","n/e","n/e","12040","1386","0","n/e","n/e","n/e","67","","774","n/e","n/e","6952","164","n/e","987","n/e","1277","4780"
"BZN|GB","01.01.2020 12:30 - 01.01.2020 13:00 (UTC)","2367","n/e","n/e","12577","1521","0","n/e","n/e","n/e","0","","785","n/e","n/e","6958","124","n/e","934","n/e","1370","4703"
"BZN|GB","01.01.2020 13:00 - 01.01.2020 13:30 (UTC)","2365","n/e","n/e","12568","1516","0","n/e","n/e","n/e","0","","783","n/e","n/e","6948","126","n/e","798","n/e","1548","4393"
"BZN|GB","01.01.2020 13:30 - 01.01.2020 14:00 (UTC)","2357","n/e","n/e","12416","1609","0","n/e","n/e","n/e","0","","792","n/e","n/e","6972","124","n/e","650","n/e","1586","4402"
"BZN|GB","01.01.2020 14:00 - 01.01.2020 14:30 (UTC)","2358","n/e","n/e","11960","1508","0","n/e","n/e","n/e","0","","845","n/e","n/e","6963","125","n/e","458","n/e","1873","4466"
"BZN|GB","01.01.2020 14:30 - 01.01.2020 15:00 (UTC)","2359","n/e","n/e","11949","1469","0","n/e","n/e","n/e","0","","839","n/e","n/e","6964","123","n/e","252","n/e","1937","4619"
"BZN|GB","01.01.2020 15:00 - 01.01.2020 15:30 (UTC)","2361","n/e","n/e","12106","1402","0","n/e","n/e","n/e","59","","898","n/e","n/e","6959","123","n/e","96","n/e","2005","4709"
"BZN|GB","01.01.2020 15:30 - 01.01.2020 16:00 (UTC)","2266","n/e","n/e","12178","1545","0","n/e","n/e","n/e","38","","954","n/e","n/e","6965","122","n/e","12","n/e","2152","4707"
"BZN|GB","01.01.2020 16:00 - 01.01.2020 16:30 (UTC)","2309","n/e","n/e","12492","1527","0","n/e","n/e","n/e","38","","951","n/e","n/e","6962","132","n/e","0","n/e","2260","4898"
