"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|GB","Generation - Solar  [MW] Intraday / BZN|GB","Generation - Solar  [MW] Current / BZN|GB","Generation - Wind Offshore  [MW] Day Ahead/ BZN|GB","Generation - Wind Offshore  [MW] Intraday / BZN|GB","Generation - Wind Offshore  [MW] Current / BZN|GB","Generation - Wind Onshore  [MW] Day Ahead/ BZN|GB","Generation - Wind Onshore  [MW] Intraday / BZN|GB","Generation - Wind Onshore  [MW] Current / BZN|GB"
"01.01.2020 00:00 - 01.01.2020 01:00","0","N/A","","2843","N/A","","3024","N/A",""
"01.01.2020 01:00 - 01.01.2020 02:00","0","N/A","","2697","N/A","","2937","N/A",""
"01.01.2020 02:00 - 01.01.2020 03:00","0","N/A","","2525","N/A","","2936","N/A",""
"01.01.2020 03:00 - 01.01.2020 04:00","0","N/A","","2297","N/A","","2970","N/A",""
"01.01.2020 04:00 - 01.01.2020 05:00","0","N/A","","1995","N/A","","3009","N/A",""
"01.01.2020 05:00 - 01.01.2020 06:00","0","N/A","","1770","N/A","","3085","N/A",""
"01.01.2020 06:00 - 01.01.2020 07:00","0","N/A","","1608","N/A","","3180","N/A",""
"01.01.2020 07:00 - 01.01.2020 08:00","0","0","","1570","1471","","3303","3665",""
"01.01.2020 08:00 - 01.01.2020 09:00","48","97","","1586","1462","","3431","3693",""
"01.01.2020 09:00 - 01.01.2020 10:00","347","468","","1616","1571","","3595","3706",""
"01.01.2020 10:00 - 01.01.2020 11:00","764","884","","1720","1723","","3771","3858",""
"01.01.2020 11:00 - 01.01.2020 12:00","1029","1175","1074","1823","1810","1766","3993","4061","4009"
"01.01.2020 12:00 - 01.01.2020 13:00","1025","1175","1048","1912","1870","1820","4149","4241","4217"
"01.01.2020 13:00 - 01.01.2020 14:00","675","807","733","2120","1960","1944","4252","4307","4316"
"01.01.2020 14:00 - 01.01.2020 15:00","299","338","296","2344","2173","2159","4383","4496","4497"
"01.01.2020 15:00 - 01.01.2020 16:00","45","43","34","2615","2449","2422","4533","4720","4703"
"01.01.2020 16:00 - 01.01.2020 17:00","0","0","0","2878","2788","2733","4770","4948","4962"
"01.01.2020 17:00 - 01.01.2020 18:00","0","0","0","3184","3040","2991","5021","5193","5235"
"01.01.2020 18:00 - 01.01.2020 19:00","0","0","0","3450","3292","3243","5280","5499","5537"
"01.01.2020 19:00 - 01.01.2020 20:00","0","0","0","3610","3601","3522","5591","5801","5802"
"01.01.2020 20:00 - 01.01.2020 21:00","0","0","0","3795","3802","3717","5901","6026","6030"
"01.01.2020 21:00 - 01.01.2020 22:00","0","0","0","4004","4143","4026","6166","6100","6104"
"01.01.2020 22:00 - 01.01.2020 23:00","0","0","0","4270","4426","4303","6463","6336","6346"
"01.01.2020 23:00 - 02.01.2020 00:00","0","0","0","4575","4634","4513","6676","6520","6538"
"02.01.2020 00:00 - 02.01.2020 01:00","0","N/A","","4729","N/A","","6607","N/A",""
"02.01.2020 01:00 - 02.01.2020 02:00","0","N/A","","5097","N/A","","6786","N/A",""
"02.01.2020 02:00 - 02.01.2020 03:00","0","N/A","","5495","N/A","","6890","N/A",""
"02.01.2020 03:00 - 02.01.2020 04:00","0","N/A","","5813","N/A","","6974","N/A",""
"02.01.2020 04:00 - 02.01.2020 05:00","0","N/A","","6099","N/A","","7053","N/A",""
"02.01.2020 05:00 - 02.01.2020 06:00","0","N/A","","6377","N/A","","7099","N/A",""
"02.01.2020 06:00 - 02.01.2020 07:00","0","N/A","","6582","N/A","","7316","N/A",""
"02.01.2020 07:00 - 02.01.2020 08:00","0","0","","6847","6371","","7356","7335",""
"02.01.2020 08:00 - 02.01.2020 09:00","25","49","","7108","6757","","7468","7485",""
"02.01.2020 09:00 - 02.01.2020 10:00","269","290","","7277","7087","","7464","7483",""
"02.01.2020 10:00 - 02.01.2020 11:00","501","547","","7472","7345","","7579","7506",""
"02.01.2020 11:00 - 02.01.2020 12:00","618","663","495","7624","7507","7533","7699","7564","7570"
"02.01.2020 12:00 - 02.01.2020 13:00","590","580","482","7702","7630","7679","7870","7723","7619"
"02.01.2020 13:00 - 02.01.2020 14:00","468","461","411","7846","7764","7798","7930","7832","7715"
"02.01.2020 14:00 - 02.01.2020 15:00","222","213","192","7941","7934","7946","7916","7814","7750"
"02.01.2020 15:00 - 02.01.2020 16:00","35","21","20","8041","8084","8074","7884","7723","7636"
"02.01.2020 16:00 - 02.01.2020 17:00","0","0","0","8076","8095","8083","7813","7532","7482"
"02.01.2020 17:00 - 02.01.2020 18:00","0","0","0","8091","8090","8080","7751","7416","7394"
"02.01.2020 18:00 - 02.01.2020 19:00","0","0","0","8123","8114","8099","7613","7329","7326"
"02.01.2020 19:00 - 02.01.2020 20:00","0","0","0","8086","8151","8141","7393","7204","7240"
"02.01.2020 20:00 - 02.01.2020 21:00","0","0","0","8063","8179","8173","7214","7087","7123"
"02.01.2020 21:00 - 02.01.2020 22:00","0","0","0","8062","8210","8206","6968","6945","6978"
"02.01.2020 22:00 - 02.01.2020 23:00","0","0","0","8047","8232","8226","6712","6900","6986"
"02.01.2020 23:00 - 03.01.2020 00:00","0","0","0","8000","8227","8219","6535","6705","6858"
"03.01.2020 00:00 - 03.01.2020 01:00","0","N/A","","8221","N/A","","6601","N/A",""
"03.01.2020 01:00 - 03.01.2020 02:00","0","N/A","","8092","N/A","","6313","N/A",""
"03.01.2020 02:00 - 03.01.2020 03:00","0","N/A","","7920","N/A","","5972","N/A",""
"03.01.2020 03:00 - 03.01.2020 04:00","0","N/A","","7744","N/A","","5691","N/A",""
"03.01.2020 04:00 - 03.01.2020 05:00","0","N/A","","7512","N/A","","5495","N/A",""
"03.01.2020 05:00 - 03.01.2020 06:00","0","N/A","","7293","N/A","","5502","N/A",""
"03.01.2020 06:00 - 03.01.2020 07:00","0","N/A","","7073","N/A","","5440","N/A",""
"03.01.2020 07:00 - 03.01.2020 08:00","0","0","","6949","6421","","5453","4674",""
"03.01.2020 08:00 - 03.01.2020 09:00","136","89","","6848","6511","","5597","4736",""
"03.01.2020 09:00 - 03.01.2020 10:00","732","539","","6798","6474","","5614","4769",""
"03.01.2020 10:00 - 03.01.2020 11:00","1468","1372","","6819","6531","","5816","4997",""
"03.01.2020 11:00 - 03.01.2020 12:00","2035","2205","2239","6809","6737","6738","6070","5236","5258"
"03.01.2020 12:00 - 03.01.2020 13:00","2252","2509","2564","6773","6936","6936","6396","5495","5525"
"03.01.2020 13:00 - 03.01.2020 14:00","2026","2091","2132","6636","6795","6794","6552","5603","5634"
"03.01.2020 14:00 - 03.01.2020 15:00","1190","1207","1213","6481","6566","6565","6635","5656","5675"
"03.01.2020 15:00 - 03.01.2020 16:00","260","261","254","6479","6430","6429","6634","5717","5726"
"03.01.2020 16:00 - 03.01.2020 17:00","0","0","0","6606","6404","6403","6678","5849","5845"
"03.01.2020 17:00 - 03.01.2020 18:00","0","5","5","6797","6318","6316","6820","6044","6033"
"03.01.2020 18:00 - 03.01.2020 19:00","0","0","0","7027","6300","6300","6946","6240","6232"
"03.01.2020 19:00 - 03.01.2020 20:00","0","0","0","7289","6489","6488","7041","6464","6452"
"03.01.2020 20:00 - 03.01.2020 21:00","0","0","0","7472","6712","6712","7080","6663","6646"
"03.01.2020 21:00 - 03.01.2020 22:00","0","0","0","7596","6901","6900","7109","6781","6763"
"03.01.2020 22:00 - 03.01.2020 23:00","0","0","0","7631","7024","7022","7091","6862","6835"
"03.01.2020 23:00 - 04.01.2020 00:00","0","0","0","7701","7112","7111","6996","6897","6883"
"04.01.2020 00:00 - 04.01.2020 01:00","0","N/A","","7140","N/A","","6691","N/A",""
"04.01.2020 01:00 - 04.01.2020 02:00","0","N/A","","7264","N/A","","6695","N/A",""
"04.01.2020 02:00 - 04.01.2020 03:00","0","N/A","","7362","N/A","","6617","N/A",""
"04.01.2020 03:00 - 04.01.2020 04:00","0","N/A","","7431","N/A","","6522","N/A",""
"04.01.2020 04:00 - 04.01.2020 05:00","0","N/A","","7468","N/A","","6221","N/A",""
"04.01.2020 05:00 - 04.01.2020 06:00","0","N/A","","7471","N/A","","5868","N/A",""
"04.01.2020 06:00 - 04.01.2020 07:00","0","N/A","","7442","N/A","","5408","N/A",""
"04.01.2020 07:00 - 04.01.2020 08:00","0","0","","7355","7062","","4937","4769",""
"04.01.2020 08:00 - 04.01.2020 09:00","97","132","","7263","7004","","4554","4406",""
"04.01.2020 09:00 - 04.01.2020 10:00","452","518","","7204","6959","","4230","4118",""
"04.01.2020 10:00 - 04.01.2020 11:00","776","888","","7129","6923","","4075","4024",""
"04.01.2020 11:00 - 04.01.2020 12:00","954","1115","1041","7060","6904","6905","3979","4043","4057"
"04.01.2020 12:00 - 04.01.2020 13:00","987","1069","925","6971","6805","6806","3926","4087","4099"
"04.01.2020 13:00 - 04.01.2020 14:00","685","771","613","6730","6588","6590","3863","4026","4026"
"04.01.2020 14:00 - 04.01.2020 15:00","364","436","306","6451","6305","6306","3761","3935","3923"
"04.01.2020 15:00 - 04.01.2020 16:00","80","89","48","6147","5984","5985","3646","3905","3880"
"04.01.2020 16:00 - 04.01.2020 17:00","0","0","0","5753","5586","5586","3639","3989","3966"
"04.01.2020 17:00 - 04.01.2020 18:00","0","0","0","5348","5175","5174","3712","4022","3987"
"04.01.2020 18:00 - 04.01.2020 19:00","0","0","0","5079","4977","4976","3798","4132","4107"
"04.01.2020 19:00 - 04.01.2020 20:00","0","0","0","4955","4946","4946","4017","4375","4356"
"04.01.2020 20:00 - 04.01.2020 21:00","0","0","0","4860","4919","4919","4235","4624","4612"
"04.01.2020 21:00 - 04.01.2020 22:00","0","0","0","4752","4867","4867","4410","4754","4748"
"04.01.2020 22:00 - 04.01.2020 23:00","0","0","0","4574","4829","4830","4511","4923","4922"
"04.01.2020 23:00 - 05.01.2020 00:00","0","0","0","4538","4740","4740","4708","5137","5143"
"05.01.2020 00:00 - 05.01.2020 01:00","0","N/A","","4224","N/A","","5151","N/A",""
"05.01.2020 01:00 - 05.01.2020 02:00","0","N/A","","4200","N/A","","5239","N/A",""
"05.01.2020 02:00 - 05.01.2020 03:00","0","N/A","","4207","N/A","","5348","N/A",""
"05.01.2020 03:00 - 05.01.2020 04:00","0","N/A","","4262","N/A","","5426","N/A",""
"05.01.2020 04:00 - 05.01.2020 05:00","0","N/A","","4395","N/A","","5524","N/A",""
"05.01.2020 05:00 - 05.01.2020 06:00","0","N/A","","4555","N/A","","5628","N/A",""
"05.01.2020 06:00 - 05.01.2020 07:00","0","N/A","","4690","N/A","","5698","N/A",""
"05.01.2020 07:00 - 05.01.2020 08:00","0","0","","4932","4488","","5756","5614",""
"05.01.2020 08:00 - 05.01.2020 09:00","46","54","","5210","4869","","5841","5702",""
"05.01.2020 09:00 - 05.01.2020 10:00","307","335","","5402","5173","","5866","5835",""
"05.01.2020 10:00 - 05.01.2020 11:00","624","653","","5619","5405","","5942","5981",""
"05.01.2020 11:00 - 05.01.2020 12:00","807","869","746","5769","5615","5655","6012","6074","6150"
"05.01.2020 12:00 - 05.01.2020 13:00","875","923","834","5870","5736","5792","6064","6107","6180"
"05.01.2020 13:00 - 05.01.2020 14:00","732","795","683","5865","5664","5734","5950","5985","6071"
"05.01.2020 14:00 - 05.01.2020 15:00","431","451","338","5873","5726","5776","5823","5776","5876"
"05.01.2020 15:00 - 05.01.2020 16:00","89","84","47","5885","5770","5802","5658","5620","5700"
"05.01.2020 16:00 - 05.01.2020 17:00","0","0","0","5936","5856","5855","5573","5505","5595"
"05.01.2020 17:00 - 05.01.2020 18:00","0","0","0","5981","5890","5867","5559","5455","5560"
"05.01.2020 18:00 - 05.01.2020 19:00","0","0","0","6012","6008","5944","5582","5519","5633"
"05.01.2020 19:00 - 05.01.2020 20:00","0","0","0","6015","6045","5966","5706","5638","5760"
"05.01.2020 20:00 - 05.01.2020 21:00","0","0","0","5973","5998","5921","5791","5812","5920"
"05.01.2020 21:00 - 05.01.2020 22:00","0","0","0","5889","5871","5817","5857","5951","6062"
"05.01.2020 22:00 - 05.01.2020 23:00","0","0","0","5729","5709","5691","6033","6116","6243"
"05.01.2020 23:00 - 06.01.2020 00:00","0","0","0","5606","5582","5592","6227","6268","6411"
"06.01.2020 00:00 - 06.01.2020 01:00","0","N/A","","5513","N/A","","6510","N/A",""
"06.01.2020 01:00 - 06.01.2020 02:00","0","N/A","","5531","N/A","","6705","N/A",""
"06.01.2020 02:00 - 06.01.2020 03:00","0","N/A","","5588","N/A","","6881","N/A",""
"06.01.2020 03:00 - 06.01.2020 04:00","0","N/A","","5783","N/A","","7032","N/A",""
"06.01.2020 04:00 - 06.01.2020 05:00","0","N/A","","6061","N/A","","7178","N/A",""
"06.01.2020 05:00 - 06.01.2020 06:00","0","N/A","","6391","N/A","","7351","N/A",""
"06.01.2020 06:00 - 06.01.2020 07:00","0","N/A","","6783","N/A","","7484","N/A",""
"06.01.2020 07:00 - 06.01.2020 08:00","0","0","","7146","7332","","7606","7664",""
"06.01.2020 08:00 - 06.01.2020 09:00","22","94","","7482","7588","","7653","7736",""
"06.01.2020 09:00 - 06.01.2020 10:00","270","425","","7728","7830","","7659","7801",""
"06.01.2020 10:00 - 06.01.2020 11:00","590","817","","7832","7945","","7731","7846",""
"06.01.2020 11:00 - 06.01.2020 12:00","687","897","829","7846","7927","7935","7773","7822","7659"
"06.01.2020 12:00 - 06.01.2020 13:00","646","774","703","7855","7948","7958","7792","7979","7764"
"06.01.2020 13:00 - 06.01.2020 14:00","476","547","516","7879","7939","7952","7725","7845","7817"
"06.01.2020 14:00 - 06.01.2020 15:00","206","262","293","7911","7957","7960","7490","7480","7557"
