Imbalance settlement period (UTC),+ Imbalance Price [GBP/MWh] - MBA|GB,- Imbalance Price [GBP/MWh] - MBA|GB,Status,Total Imbalance [MWh] - MBA|GB,Difference,Situation,Status
01.01.2020 00:00 - 01.01.2020 00:30,50.9,50.9,Final,54,,Surplus,Final
01.01.2020 00:30 - 01.01.2020 01:00,51,51,Final,195,,Surplus,Final
01.01.2020 01:00 - 01.01.2020 01:30,29.37,29.37,Final,71,,Deficit,Final
01.01.2020 01:30 - 01.01.2020 02:00,28.52,28.52,Final,122,,Deficit,Final
01.01.2020 02:00 - 01.01.2020 02:30,25.78,25.78,Final,91,,Deficit,Final
01.01.2020 02:30 - 01.01.2020 03:00,24.77,24.77,Final,140,,Deficit,Final
01.01.2020 03:00 - 01.01.2020 03:30,50.5,50.5,Final,156,,Surplus,Final
01.01.2020 03:30 - 01.01.2020 04:00,50,50,Final,34,,Surplus,Final
01.01.2020 04:00 - 01.01.2020 04:30,23.93,23.93,Final,46,,Deficit,Final
01.01.2020 04:30 - 01.01.2020 05:00,23.93,23.93,Final,102,,Deficit,Final
01.01.2020 05:00 - 01.01.2020 05:30,6,6,Final,322,,Deficit,Final
01.01.2020 05:30 - 01.01.2020 06:00,6,6,Final,226,,Deficit,Final
01.01.2020 06:00 - 01.01.2020 06:30,23.82,23.82,Final,28,,Deficit,Final
01.01.2020 06:30 - 01.01.2020 07:00,31.69,31.69,Final,145,,Surplus,Final
01.01.2020 07:00 - 01.01.2020 07:30,23.98,23.98,Final,8,,Deficit,Final
01.01.2020 07:30 - 01.01.2020 08:00,52,52,Final,106,,Surplus,Final
01.01.2020 08:00 - 01.01.2020 08:30,52,52,Final,112,,Surplus,Final
01.01.2020 08:30 - 01.01.2020 09:00,52,52,Final,176,,Surplus,Final
01.01.2020 09:00 - 01.01.2020 09:30,52,52,Final,189,,Surplus,Final
01.01.2020 09:30 - 01.01.2020 10:00,51,51,Final,2,,Surplus,Final
01.01.2020 10:00 - 01.01.2020 10:30,51.9,51.9,Final,141,,Surplus,Final
01.01.2020 10:30 - 01.01.2020 11:00,51,51,Final,45,,Surplus,Final
01.01.2020 11:00 - 01.01.2020 11:30,25.59,25.59,Final,7,,Deficit,Final
01.01.2020 11:30 - 01.01.2020 12:00,7.5,7.5,Final,86,,Deficit,Final
01.01.2020 12:00 - 01.01.2020 12:30,51.9,51.9,Final,314,,Surplus,Final
01.01.2020 12:30 - 01.01.2020 13:00,51.9,51.9,Final,349,,Surplus,Final
