"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"01.01.2020 00:00 - 01.01.2020 00:30","27684","30675"
"01.01.2020 00:30 - 01.01.2020 01:00","28315","31260"
"01.01.2020 01:00 - 01.01.2020 01:30","27745","30972"
"01.01.2020 01:30 - 01.01.2020 02:00","26773","30110"
"01.01.2020 02:00 - 01.01.2020 02:30","26099","29344"
"01.01.2020 02:30 - 01.01.2020 03:00","25455","28382"
"01.01.2020 03:00 - 01.01.2020 03:30","24559","26568"
"01.01.2020 03:30 - 01.01.2020 04:00","23827","25784"
"01.01.2020 04:00 - 01.01.2020 04:30","23499","24625"
"01.01.2020 04:30 - 01.01.2020 05:00","23341","24116"
"01.01.2020 05:00 - 01.01.2020 05:30","23294","24589"
"01.01.2020 05:30 - 01.01.2020 06:00","23733","24791"
"01.01.2020 06:00 - 01.01.2020 06:30","24287","26641"
"01.01.2020 06:30 - 01.01.2020 07:00","24668","27119"
"01.01.2020 07:00 - 01.01.2020 07:30","24863","28120"
"01.01.2020 07:30 - 01.01.2020 08:00","25039","28563"
"01.01.2020 08:00 - 01.01.2020 08:30","25771","29278"
"01.01.2020 08:30 - 01.01.2020 09:00","27048","30156"
"01.01.2020 09:00 - 01.01.2020 09:30","28444","31512"
"01.01.2020 09:30 - 01.01.2020 10:00","29759","33288"
"01.01.2020 10:00 - 01.01.2020 10:30","31068","34837"
"01.01.2020 10:30 - 01.01.2020 11:00","32368","35646"
"01.01.2020 11:00 - 01.01.2020 11:30","33475","36883"
"01.01.2020 11:30 - 01.01.2020 12:00","34234","37761"
"01.01.2020 12:00 - 01.01.2020 12:30","34688","38572"
"01.01.2020 12:30 - 01.01.2020 13:00","34906","38944"
"01.01.2020 13:00 - 01.01.2020 13:30","34770","39196"
"01.01.2020 13:30 - 01.01.2020 14:00","34472","39205"
"01.01.2020 14:00 - 01.01.2020 14:30","34269","39425"
"01.01.2020 14:30 - 01.01.2020 15:00","34218","39444"
"01.01.2020 15:00 - 01.01.2020 15:30","34562","39782"
"01.01.2020 15:30 - 01.01.2020 16:00","35436","40569"
"01.01.2020 16:00 - 01.01.2020 16:30","37256","41606"
"01.01.2020 16:30 - 01.01.2020 17:00","38548","42890"
"01.01.2020 17:00 - 01.01.2020 17:30","38587","43366"
"01.01.2020 17:30 - 01.01.2020 18:00","38016","43165"
"01.01.2020 18:00 - 01.01.2020 18:30","37354","41390"
"01.01.2020 18:30 - 01.01.2020 19:00","36615","40629"
"01.01.2020 19:00 - 01.01.2020 19:30","35567","39727"
"01.01.2020 19:30 - 01.01.2020 20:00","34660","38772"
"01.01.2020 20:00 - 01.01.2020 20:30","33653","38206"
"01.01.2020 20:30 - 01.01.2020 21:00","32619","37071"
"01.01.2020 21:00 - 01.01.2020 21:30","31528","35403"
